Neighbourhood,From_Date,To_Date,Crime_Code,Crime_Type,Ward,City,FID
Fredericton South,1491523200000,,2140,THEFT OTH <$5000,11,Fredericton,46
Fredericton South,1493078400000,,2140,THEFT OTH <$5000,11,Fredericton,47
Fredericton South,1490832000000,1490832000000,2140,THEFT OTH <$5000,11,Fredericton,48
Fredericton South,1493769600000,,2140,THEFT OTH <$5000,12,Fredericton,49
Fredericton South,1493942400000,1493942400000,2140,THEFT OTH <$5000,11,Fredericton,50
Barkers Point,1498953600000,1499817600000,2140,THEFT BIKE<$5000,6,Fredericton,51
Barkers Point,1487894400000,1487980800000,2142,THEFT FROM MV < $5000,6,Fredericton,52
Barkers Point,1496361600000,,2142,THEFT FROM MV < $5000,6,Fredericton,53
Barkers Point,1497052800000,1498262400000,2142,THEFT FROM MV < $5000,6,Fredericton,54
Barkers Point,1499817600000,1499904000000,2142,THEFT FROM MV < $5000,6,Fredericton,55
Barkers Point,1499904000000,1499990400000,2142,THEFT FROM MV < $5000,6,Fredericton,56
Barkers Point,1504051200000,1504051200000,2142,THEFT FROM MV < $5000,6,Fredericton,57
Barkers Point,1505606400000,1505692800000,2142,THEFT FROM MV < $5000,6,Fredericton,58
Barkers Point,1507507200000,,2142,THEFT FROM MV < $5000,6,Fredericton,59
Barkers Point,1499817600000,1499904000000,2140,THEFT OTH <$5000,6,Fredericton,60
Barkers Point,1499904000000,1499904000000,2140,THEFT OTH <$5000,6,Fredericton,61
Barkers Point,1499817600000,1499904000000,2140,THEFT OTH <$5000,6,Fredericton,62
Barkers Point,1499904000000,,2140,THEFT OTH <$5000,6,Fredericton,63
Barkers Point,1499558400000,1499904000000,2140,THEFT OTH <$5000,6,Fredericton,64
Barkers Point,1499904000000,,2140,THEFT OTH <$5000,6,Fredericton,65
Barkers Point,1499299200000,1499385600000,2140,THEFT OTH <$5000,6,Fredericton,66
Barkers Point,1502150400000,,2140,THEFT OTH <$5000,6,Fredericton,67
Barkers Point,1506297600000,1506902400000,2140,THEFT OTH <$5000,6,Fredericton,68
Barkers Point,1506988800000,,2140,THEFT OTH <$5000,6,Fredericton,69
Barkers Point,1508457600000,,2140,THEFT OTH <$5000,6,Fredericton,70
South Devon,1507593600000,,2110,ARSON BY NEG,4,Fredericton,71
South Devon,1491523200000,1491609600000,2120,B&E OTHER,4,Fredericton,72
South Devon,1501372800000,1501372800000,2120,B&E OTHER,4,Fredericton,73
South Devon,1502841600000,1503446400000,2120,B&E OTHER,4,Fredericton,74
South Devon,1503705600000,1503792000000,2120,B&E OTHER,4,Fredericton,75
South Devon,1504396800000,,2120,B&E OTHER,4,Fredericton,76
South Devon,1506384000000,,2120,B&E OTHER,4,Fredericton,77
South Devon,1483488000000,,2120,B&E RESIDENCE,4,Fredericton,78
South Devon,1484179200000,1484179200000,2120,B&E RESIDENCE,4,Fredericton,79
South Devon,1485561600000,,2120,B&E RESIDENCE,4,Fredericton,80
South Devon,1485734400000,,2120,B&E RESIDENCE,4,Fredericton,81
South Devon,1486512000000,,2120,B&E RESIDENCE,4,Fredericton,82
South Devon,1492214400000,1492214400000,2120,B&E RESIDENCE,4,Fredericton,83
South Devon,1492560000000,,2120,B&E RESIDENCE,4,Fredericton,84
South Devon,1493251200000,,2120,B&E RESIDENCE,4,Fredericton,85
South Devon,1493596800000,,2120,B&E RESIDENCE,4,Fredericton,86
South Devon,1497398400000,,2120,B&E RESIDENCE,4,Fredericton,87
South Devon,1498262400000,1498262400000,2120,B&E RESIDENCE,4,Fredericton,88
South Devon,1499472000000,,2120,B&E RESIDENCE,4,Fredericton,89
South Devon,1500076800000,1500076800000,2120,B&E RESIDENCE,4,Fredericton,90
South Devon,1503619200000,,2120,B&E RESIDENCE,4,Fredericton,91
South Devon,1503532800000,1503792000000,2120,B&E RESIDENCE,4,Fredericton,92
South Devon,1504656000000,1504742400000,2120,B&E RESIDENCE,4,Fredericton,93
South Devon,1483228800000,,2170,MISCHIEF TO PROP,4,Fredericton,94
South Devon,1483833600000,1483920000000,2170,MISCHIEF TO PROP,4,Fredericton,95
South Devon,1488758400000,1488844800000,2170,MISCHIEF TO PROP,4,Fredericton,96
South Devon,1489104000000,1489708800000,2170,MISCHIEF TO PROP,4,Fredericton,97
South Devon,1493078400000,,2170,MISCHIEF TO PROP,4,Fredericton,98
South Devon,1495238400000,,2170,MISCHIEF TO PROP,4,Fredericton,99
South Devon,1501113600000,1501200000000,2170,MISCHIEF TO PROP,4,Fredericton,100
Sandyville,1487376000000,1487376000000,2142,THEFT FROM MV < $5000,5,Fredericton,101
South Devon,1505865600000,,2170,MISCHIEF TO PROP,4,Fredericton,102
South Devon,1498867200000,1499040000000,2140,THEFT BIKE<$5000,4,Fredericton,103
South Devon,1502755200000,1502755200000,2140,THEFT BIKE<$5000,4,Fredericton,104
South Devon,1503100800000,1503360000000,2140,THEFT BIKE<$5000,4,Fredericton,105
South Devon,1503532800000,1503532800000,2140,THEFT BIKE<$5000,4,Fredericton,106
South Devon,1506384000000,1506384000000,2140,THEFT BIKE<$5000,4,Fredericton,107
South Devon,1484611200000,1484611200000,2142,THEFT FROM MV < $5000,4,Fredericton,108
South Devon,1485734400000,1485820800000,2142,THEFT FROM MV < $5000,4,Fredericton,109
South Devon,1486512000000,1486512000000,2142,THEFT FROM MV < $5000,4,Fredericton,110
South Devon,1487462400000,1487548800000,2142,THEFT FROM MV < $5000,4,Fredericton,111
South Devon,1488758400000,1488844800000,2142,THEFT FROM MV < $5000,4,Fredericton,112
South Devon,1495324800000,1495324800000,2142,THEFT FROM MV < $5000,4,Fredericton,113
South Devon,1495670400000,1495756800000,2142,THEFT FROM MV < $5000,4,Fredericton,114
South Devon,1495670400000,1495756800000,2142,THEFT FROM MV < $5000,4,Fredericton,115
South Devon,1495584000000,1495670400000,2142,THEFT FROM MV < $5000,4,Fredericton,116
South Devon,1491004800000,1494633600000,2142,THEFT FROM MV < $5000,4,Fredericton,117
South Devon,1496966400000,1497052800000,2142,THEFT FROM MV < $5000,4,Fredericton,118
South Devon,1497139200000,,2142,THEFT FROM MV < $5000,4,Fredericton,119
South Devon,1497139200000,1497312000000,2142,THEFT FROM MV < $5000,4,Fredericton,120
South Devon,1498262400000,,2142,THEFT FROM MV < $5000,4,Fredericton,121
South Devon,1498176000000,1498608000000,2142,THEFT FROM MV < $5000,4,Fredericton,122
South Devon,1498867200000,1498953600000,2142,THEFT FROM MV < $5000,4,Fredericton,123
South Devon,1499299200000,1499385600000,2142,THEFT FROM MV < $5000,4,Fredericton,124
South Devon,1499904000000,1499904000000,2142,THEFT FROM MV < $5000,4,Fredericton,125
South Devon,1503532800000,1503619200000,2142,THEFT FROM MV < $5000,4,Fredericton,126
South Devon,1505692800000,1505692800000,2142,THEFT FROM MV < $5000,4,Fredericton,127
South Devon,1505692800000,1505692800000,2142,THEFT FROM MV < $5000,4,Fredericton,128
South Devon,1506556800000,,2142,THEFT FROM MV < $5000,4,Fredericton,129
South Devon,1484265600000,,2140,THEFT OTH <$5000,4,Fredericton,130
South Devon,1491609600000,,2140,THEFT OTH <$5000,4,Fredericton,131
South Devon,1492732800000,,2140,THEFT OTH <$5000,4,Fredericton,132
South Devon,1497484800000,,2140,THEFT OTH <$5000,4,Fredericton,133
South Devon,1498262400000,1498348800000,2140,THEFT OTH <$5000,4,Fredericton,134
South Devon,1499731200000,1499731200000,2140,THEFT OTH <$5000,4,Fredericton,135
South Devon,1499817600000,1499904000000,2140,THEFT OTH <$5000,4,Fredericton,136
South Devon,1499904000000,1499990400000,2140,THEFT OTH <$5000,4,Fredericton,137
South Devon,1502928000000,,2140,THEFT OTH <$5000,4,Fredericton,138
South Devon,1504742400000,,2140,THEFT OTH <$5000,4,Fredericton,139
Cotton Mill Creek,1503273600000,,2170,MISCHIEF TO PROP,5,Fredericton,140
Cotton Mill Creek,1504483200000,1504483200000,2170,MISCHIEF TO PROP,5,Fredericton,141
Cotton Mill Creek,1505174400000,1505260800000,2170,MISCHIEF TO PROP,5,Fredericton,142
Cotton Mill Creek,1502755200000,1502841600000,2135,MOTOR VEH THEFT,5,Fredericton,143
Nashwaaksis,1492128000000,1492560000000,2110,ARSON-DAM.PROP.,1,Fredericton,144
Nashwaaksis,1496793600000,,2120,B&E NON-RESIDNCE,1,Fredericton,145
Nashwaaksis,1500768000000,,2120,B&E NON-RESIDNCE,1,Fredericton,146
Nashwaaksis,1486166400000,1486166400000,2120,B&E RESIDENCE,1,Fredericton,147
Nashwaaksis,1490054400000,1490054400000,2120,B&E RESIDENCE,1,Fredericton,148
Nashwaaksis,1504051200000,,2120,B&E RESIDENCE,1,Fredericton,149
Nashwaaksis,1483660800000,,2170,MISCHIEF TO PROP,2,Fredericton,150
Nashwaaksis,1484870400000,1485043200000,2170,MISCHIEF TO PROP,1,Fredericton,151
Sandyville,1487376000000,1487376000000,2142,THEFT FROM MV < $5000,5,Fredericton,152
Sandyville,1493078400000,,2140,THEFT OTH <$5000,5,Fredericton,153
Knob Hill,1486080000000,1486339200000,2120,B&E RESIDENCE,5,Fredericton,154
Knob Hill,1503100800000,,2170,MISCHIEF TO PROP,5,Fredericton,155
Knob Hill,1499299200000,1499385600000,2135,MOTOR VEH THEFT,5,Fredericton,156
Knob Hill,1496534400000,,2142,THEFT FROM MV < $5000,5,Fredericton,157
Youngs Crossing,1495152000000,,2110,ARSON-DAM.PROP.,4,Fredericton,158
Youngs Crossing,1487548800000,,2120,B&E RESIDENCE,4,Fredericton,159
Youngs Crossing,1493510400000,,2120,B&E RESIDENCE,4,Fredericton,160
Youngs Crossing,1494460800000,,2170,MISCHIEF TO PROP,4,Fredericton,161
Youngs Crossing,1500422400000,,2170,MISCHIEF TO PROP,4,Fredericton,162
Youngs Crossing,1502150400000,1502236800000,2170,MISCHIEF TO PROP,4,Fredericton,163
Youngs Crossing,1502323200000,,2170,MISCHIEF TO PROP,4,Fredericton,164
Youngs Crossing,1504915200000,1505088000000,2135,MOTOR VEH THEFT,4,Fredericton,165
Youngs Crossing,1488153600000,1488240000000,2142,THEFT FROM MV < $5000,4,Fredericton,166
Youngs Crossing,1488153600000,1488240000000,2142,THEFT FROM MV < $5000,4,Fredericton,167
Youngs Crossing,1488240000000,1488240000000,2142,THEFT FROM MV < $5000,4,Fredericton,168
Youngs Crossing,1488672000000,,2142,THEFT FROM MV < $5000,4,Fredericton,169
Youngs Crossing,1494892800000,1494892800000,2142,THEFT FROM MV < $5000,4,Fredericton,170
Youngs Crossing,1497657600000,,2142,THEFT FROM MV < $5000,4,Fredericton,171
Youngs Crossing,1499126400000,1499299200000,2140,THEFT OTH <$5000,4,Fredericton,172
Youngs Crossing,1504310400000,,2140,THEFT OTH <$5000,4,Fredericton,173
Barkers Point,1492300800000,1492300800000,2120,B&E NON-RESIDNCE,6,Fredericton,174
Barkers Point,1494892800000,1494979200000,2120,B&E NON-RESIDNCE,6,Fredericton,175
Barkers Point,1483228800000,1488931200000,2120,B&E OTHER,6,Fredericton,176
Barkers Point,1483228800000,1492214400000,2120,B&E OTHER,6,Fredericton,177
Barkers Point,1499472000000,1500076800000,2120,B&E OTHER,6,Fredericton,178
Barkers Point,1501545600000,1501632000000,2120,B&E OTHER,6,Fredericton,179
Barkers Point,1502928000000,,2120,B&E OTHER,6,Fredericton,180
Barkers Point,1505779200000,1505865600000,2120,B&E OTHER,6,Fredericton,181
Barkers Point,1507593600000,1507593600000,2120,B&E OTHER,6,Fredericton,182
Barkers Point,1486252800000,,2120,B&E RESIDENCE,6,Fredericton,183
Barkers Point,1492214400000,1492560000000,2120,B&E RESIDENCE,6,Fredericton,184
Barkers Point,1499904000000,1499904000000,2120,B&E RESIDENCE,6,Fredericton,185
Barkers Point,1500336000000,1500422400000,2120,B&E RESIDENCE,6,Fredericton,186
Barkers Point,1500595200000,1500681600000,2120,B&E RESIDENCE,6,Fredericton,187
Barkers Point,1500854400000,1500854400000,2120,B&E RESIDENCE,6,Fredericton,188
Barkers Point,1501372800000,1501804800000,2120,B&E RESIDENCE,6,Fredericton,189
Barkers Point,1491609600000,1491782400000,2121,B&E STEAL FIREAR,6,Fredericton,190
Barkers Point,1486166400000,1486166400000,2170,MISCHIEF TO PROP,6,Fredericton,191
Barkers Point,1487116800000,,2170,MISCHIEF TO PROP,6,Fredericton,192
Barkers Point,1487721600000,,2170,MISCHIEF TO PROP,6,Fredericton,193
Barkers Point,1495670400000,1495756800000,2170,MISCHIEF TO PROP,6,Fredericton,194
Barkers Point,1497139200000,1498780800000,2170,MISCHIEF TO PROP,6,Fredericton,195
Barkers Point,1502409600000,,2170,MISCHIEF TO PROP,6,Fredericton,196
Barkers Point,1502582400000,,2170,MISCHIEF TO PROP,6,Fredericton,197
Barkers Point,1496448000000,1496534400000,2135,MOTOR VEH THEFT,6,Fredericton,198
Barkers Point,1498608000000,1498694400000,2135,MOTOR VEH THEFT,6,Fredericton,199
Barkers Point,1498608000000,1498608000000,2140,THEFT BIKE<$5000,6,Fredericton,200
Brookside,1495756800000,,2140,THEFT OTH <$5000,3,Fredericton,201
Marysville,1487203200000,1487289600000,2142,THEFT FROM MV < $5000,5,Fredericton,202
Fredericton South,1496275200000,,2140,THEFT OTH <$5000,11,Fredericton,203
Fredericton South,1499385600000,,2140,THEFT OTH <$5000,12,Fredericton,204
Fredericton South,1500249600000,,2140,THEFT OTH <$5000,11,Fredericton,205
Fredericton South,1500249600000,1500249600000,2140,THEFT OTH <$5000,11,Fredericton,206
Fredericton South,1502236800000,,2140,THEFT OTH <$5000,11,Fredericton,207
Fredericton South,1502236800000,,2140,THEFT OTH <$5000,11,Fredericton,208
Fredericton South,1503014400000,,2140,THEFT OTH <$5000,11,Fredericton,209
Fredericton South,1503532800000,,2140,THEFT OTH <$5000,11,Fredericton,210
Fredericton South,1503619200000,1503619200000,2140,THEFT OTH <$5000,7,Fredericton,211
Fredericton South,1504224000000,,2140,THEFT OTH <$5000,7,Fredericton,212
Fredericton South,1504224000000,1504224000000,2140,THEFT OTH <$5000,11,Fredericton,213
Fredericton South,1505260800000,,2140,THEFT OTH <$5000,11,Fredericton,214
Fredericton South,1505433600000,,2140,THEFT OTH <$5000,11,Fredericton,215
Fredericton South,1506297600000,,2140,THEFT OTH <$5000,11,Fredericton,216
Fredericton South,1505347200000,,2140,THEFT OTH <$5000,11,Fredericton,217
Fredericton South,1507248000000,1507593600000,2140,THEFT OTH <$5000,11,Fredericton,218
Fredericton South,1494201600000,1494288000000,2130,THEFT OTH >$5000,12,Fredericton,219
Fredericton South,1497657600000,,2130,THEFT OTH >$5000,7,Fredericton,220
Fredericton South,1502496000000,1502496000000,2130,THEFT OTH >$5000,12,Fredericton,221
Fredericton South,1508976000000,,2130,THEFT OTH >$5000,7,Fredericton,222
Brookside,1488499200000,1488758400000,2120,B&E NON-RESIDNCE,3,Fredericton,223
Brookside,1498348800000,1498435200000,2120,B&E NON-RESIDNCE,3,Fredericton,224
Brookside,1492992000000,,2135,MOTOR VEH THEFT,3,Fredericton,225
Brookside,1504396800000,,2135,MOTOR VEH THEFT,3,Fredericton,226
Brookside,1483488000000,,2140,THEFT OTH <$5000,3,Fredericton,227
Brookside,1483833600000,,2140,THEFT OTH <$5000,3,Fredericton,228
Brookside,1483833600000,,2140,THEFT OTH <$5000,3,Fredericton,229
Brookside,1484179200000,,2140,THEFT OTH <$5000,3,Fredericton,230
Brookside,1484438400000,,2140,THEFT OTH <$5000,3,Fredericton,231
Brookside,1484524800000,,2140,THEFT OTH <$5000,3,Fredericton,232
Brookside,1484611200000,,2140,THEFT OTH <$5000,3,Fredericton,233
Brookside,1485302400000,,2140,THEFT OTH <$5000,3,Fredericton,234
Brookside,1485993600000,,2140,THEFT OTH <$5000,3,Fredericton,235
Brookside,1486252800000,,2140,THEFT OTH <$5000,3,Fredericton,236
Brookside,1486684800000,,2140,THEFT OTH <$5000,3,Fredericton,237
Brookside,1484784000000,,2140,THEFT OTH <$5000,3,Fredericton,238
Brookside,1487116800000,,2140,THEFT OTH <$5000,3,Fredericton,239
Brookside,1488067200000,1488153600000,2140,THEFT OTH <$5000,3,Fredericton,240
Brookside,1488499200000,,2140,THEFT OTH <$5000,3,Fredericton,241
Brookside,1488067200000,,2140,THEFT OTH <$5000,3,Fredericton,242
Brookside,1488326400000,,2140,THEFT OTH <$5000,3,Fredericton,243
Brookside,1489104000000,,2140,THEFT OTH <$5000,3,Fredericton,244
Brookside,1489536000000,,2140,THEFT OTH <$5000,3,Fredericton,245
Brookside,1491436800000,,2140,THEFT OTH <$5000,3,Fredericton,246
Brookside,1491004800000,,2140,THEFT OTH <$5000,3,Fredericton,247
Brookside,1491350400000,,2140,THEFT OTH <$5000,3,Fredericton,248
Brookside,1491609600000,,2140,THEFT OTH <$5000,3,Fredericton,249
Brookside,1492214400000,,2140,THEFT OTH <$5000,3,Fredericton,250
Brookside,1494633600000,,2140,THEFT OTH <$5000,3,Fredericton,251
Brookside,1494806400000,,2140,THEFT OTH <$5000,3,Fredericton,252
Marysville,1487894400000,1488067200000,2142,THEFT FROM MV < $5000,5,Fredericton,253
Brookside,1495670400000,1495670400000,2140,THEFT OTH <$5000,3,Fredericton,254
Brookside,1495843200000,,2140,THEFT OTH <$5000,3,Fredericton,255
Brookside,1496102400000,,2140,THEFT OTH <$5000,3,Fredericton,256
Brookside,1496534400000,,2140,THEFT OTH <$5000,3,Fredericton,257
Brookside,1497225600000,,2140,THEFT OTH <$5000,3,Fredericton,258
Brookside,1498694400000,1498694400000,2140,THEFT OTH <$5000,3,Fredericton,259
Brookside,1498435200000,1498780800000,2140,THEFT OTH <$5000,3,Fredericton,260
Brookside,1500163200000,,2140,THEFT OTH <$5000,3,Fredericton,261
Brookside,1500249600000,,2140,THEFT OTH <$5000,3,Fredericton,262
Brookside,1500681600000,,2140,THEFT OTH <$5000,3,Fredericton,263
Brookside,1501977600000,,2140,THEFT OTH <$5000,3,Fredericton,264
Brookside,1502409600000,,2140,THEFT OTH <$5000,3,Fredericton,265
Brookside,1504137600000,,2140,THEFT OTH <$5000,3,Fredericton,266
Brookside,1504828800000,,2140,THEFT OTH <$5000,3,Fredericton,267
Brookside,1506470400000,,2140,THEFT OTH <$5000,3,Fredericton,268
Brookside,1506470400000,,2140,THEFT OTH <$5000,3,Fredericton,269
Brookside,1506643200000,1506643200000,2140,THEFT OTH <$5000,3,Fredericton,270
Brookside,1506643200000,,2140,THEFT OTH <$5000,3,Fredericton,271
Brookside,1507593600000,,2140,THEFT OTH <$5000,3,Fredericton,272
Brookside,1507766400000,,2140,THEFT OTH <$5000,3,Fredericton,273
Brookside,1507852800000,,2140,THEFT OTH <$5000,3,Fredericton,274
Brookside,1508371200000,,2140,THEFT OTH <$5000,3,Fredericton,275
Brookside,1508284800000,,2140,THEFT OTH <$5000,3,Fredericton,276
Douglas,1498953600000,1499040000000,2135,MOTOR VEH THEFT,1,Fredericton,277
Douglas,1506643200000,1506729600000,2135,MOTOR VEH THEFT,1,Fredericton,278
Douglas,1499299200000,1499299200000,2142,THEFT FROM MV < $5000,1,Fredericton,279
McLeod Hill,1499644800000,,2135,MOTOR VEH THEFT,2,Fredericton,280
McLeod Hill,1499731200000,,2142,THEFT FROM MV < $5000,2,Fredericton,281
McLeod Hill,1507680000000,1507766400000,2142,THEFT FROM MV < $5000,2,Fredericton,282
Marysville,1493164800000,,2110,ARSON,5,Fredericton,283
Marysville,1486771200000,1486857600000,2120,B&E NON-RESIDNCE,5,Fredericton,284
Marysville,1498348800000,1498435200000,2120,B&E OTHER,5,Fredericton,285
Marysville,1501200000000,1501372800000,2120,B&E OTHER,5,Fredericton,286
Marysville,1493683200000,1494547200000,2120,B&E RESIDENCE,0,Fredericton,287
Marysville,1496966400000,,2120,B&E RESIDENCE,5,Fredericton,288
Marysville,1505865600000,1506211200000,2120,B&E RESIDENCE,5,Fredericton,289
Marysville,1506470400000,,2120,B&E RESIDENCE,5,Fredericton,290
Marysville,1507852800000,,2120,B&E RESIDENCE,5,Fredericton,291
Marysville,1488931200000,,2170,MISCHIEF TO PROP,5,Fredericton,292
Marysville,1494115200000,1494201600000,2170,MISCHIEF TO PROP,5,Fredericton,293
Marysville,1494115200000,1494201600000,2170,MISCHIEF TO PROP,5,Fredericton,294
Marysville,1498003200000,1498003200000,2170,MISCHIEF TO PROP,5,Fredericton,295
Marysville,1498348800000,,2170,MISCHIEF TO PROP,5,Fredericton,296
Marysville,1498435200000,,2170,MISCHIEF TO PROP,5,Fredericton,297
Marysville,1500768000000,,2170,MISCHIEF TO PROP,5,Fredericton,298
Marysville,1504396800000,1504483200000,2170,MISCHIEF TO PROP,5,Fredericton,299
Marysville,1487116800000,,2135,MOTOR VEH THEFT,5,Fredericton,300
Marysville,1503532800000,,2140,THEFT BIKE<$5000,5,Fredericton,301
Marysville,1486166400000,1486166400000,2142,THEFT FROM MV < $5000,0,Fredericton,302
Marysville,1490486400000,1490486400000,2142,THEFT FROM MV < $5000,5,Fredericton,303
Marysville,1493164800000,1493251200000,2142,THEFT FROM MV < $5000,5,Fredericton,304
Marysville,1496188800000,1496275200000,2142,THEFT FROM MV < $5000,5,Fredericton,305
Marysville,1504396800000,1504396800000,2142,THEFT FROM MV < $5000,5,Fredericton,306
Marysville,1504396800000,1504396800000,2142,THEFT FROM MV < $5000,5,Fredericton,307
Marysville,1504310400000,1504396800000,2142,THEFT FROM MV < $5000,5,Fredericton,308
Marysville,1503273600000,1503619200000,2142,THEFT FROM MV < $5000,5,Fredericton,309
Marysville,1487376000000,,2140,THEFT OTH <$5000,5,Fredericton,310
Marysville,1487116800000,,2140,THEFT OTH <$5000,5,Fredericton,311
Marysville,1489622400000,,2140,THEFT OTH <$5000,5,Fredericton,312
Marysville,1493424000000,,2140,THEFT OTH <$5000,5,Fredericton,313
Marysville,1491004800000,1491091200000,2140,THEFT OTH <$5000,5,Fredericton,314
Marysville,1493942400000,1494115200000,2140,THEFT OTH <$5000,5,Fredericton,315
Marysville,1497398400000,1497398400000,2140,THEFT OTH <$5000,5,Fredericton,316
Marysville,1500336000000,1500422400000,2140,THEFT OTH <$5000,5,Fredericton,317
Marysville,1501200000000,,2140,THEFT OTH <$5000,5,Fredericton,318
Marysville,1507248000000,1507248000000,2140,THEFT OTH <$5000,5,Fredericton,319
Saint Mary's First Nation,1486166400000,,2120,B&E RESIDENCE,3,Fredericton,320
Saint Mary's First Nation,1489276800000,,2170,MISCHIEF TO PROP,3,Fredericton,321
Saint Mary's First Nation,1495411200000,,2170,MISCHIEF TO PROP,4,Fredericton,322
Saint Mary's First Nation,1496448000000,1496448000000,2170,MISCHIEF TO PROP,3,Fredericton,323
Saint Mary's First Nation,1499990400000,1499990400000,2170,MISCHIEF TO PROP,3,Fredericton,324
Saint Mary's First Nation,1500249600000,,2170,MISCHIEF TO PROP,3,Fredericton,325
Saint Mary's First Nation,1501804800000,1501804800000,2170,MISCHIEF TO PROP,3,Fredericton,326
Saint Mary's First Nation,1491955200000,,2135,MOTOR VEH THEFT,3,Fredericton,327
Saint Mary's First Nation,1495843200000,1495929600000,2135,MOTOR VEH THEFT,3,Fredericton,328
Saint Mary's First Nation,1506124800000,1506384000000,2135,MOTOR VEH THEFT,3,Fredericton,329
Saint Mary's First Nation,1502409600000,1502409600000,2140,THEFT BIKE<$5000,4,Fredericton,330
Saint Mary's First Nation,1498953600000,1499040000000,2142,THEFT FROM MV < $5000,3,Fredericton,331
Saint Mary's First Nation,1484697600000,,2140,THEFT OTH <$5000,3,Fredericton,332
Saint Mary's First Nation,1485907200000,,2140,THEFT OTH <$5000,3,Fredericton,333
Saint Mary's First Nation,1487721600000,,2140,THEFT OTH <$5000,3,Fredericton,334
Saint Mary's First Nation,1487808000000,,2140,THEFT OTH <$5000,3,Fredericton,335
Saint Mary's First Nation,1488240000000,,2140,THEFT OTH <$5000,3,Fredericton,336
